Order,Carrier,Cost_USD,TPT_Days,Mode,Rate_Kg
433,V444_0,1.4992,3,AIR,0.0484
434,V444_0,1.4992,3,AIR,0.0484
435,V444_4,1.5415999999999999,1,AIR,0.5416
436,V444_0,1.4992,3,AIR,0.0484
437,V444_0,1.4992,3,AIR,0.0484
438,V444_0,1.4992,3,AIR,0.0484
439,V444_0,3.4552,3,AIR,0.0824
440,V444_0,1.4992,3,AIR,0.0484
441,V444_0,1.4992,3,AIR,0.0484
442,V444_0,3.4552,3,AIR,0.0824
443,V444_0,1.4992,3,AIR,0.0484
444,V444_0,1.4992,3,AIR,0.0484
445,V444_0,1.4992,3,AIR,0.0484
446,V444_0,3.4552,3,AIR,0.0824
447,V444_0,1.4992,3,AIR,0.0484
448,V444_0,1.4992,3,AIR,0.0484
449,V444_0,1.4992,3,AIR,0.0484
450,V444_0,1.4992,3,AIR,0.0484
451,V444_0,3.4552,3,AIR,0.0824
452,V444_0,1.4992,3,AIR,0.0484
453,V444_0,1.4992,3,AIR,0.0484
454,V444_0,1.4992,3,AIR,0.0484
455,V444_0,1.4992,3,AIR,0.0484
456,V444_0,1.4992,3,AIR,0.0484
457,V444_0,1.4992,3,AIR,0.0484
458,V444_0,1.4992,3,AIR,0.0484
459,V444_0,1.4992,3,AIR,0.0484
460,V444_4,1.396,1,AIR,0.396
461,V444_0,1.4992,3,AIR,0.0484
462,V444_0,1.4992,3,AIR,0.0484
463,V444_0,1.4992,3,AIR,0.0484
464,V444_0,1.4992,3,AIR,0.0484
465,V444_0,1.4992,3,AIR,0.0484
466,V444_4,6.651116112747162,1,AIR,0.91
467,V444_0,1.4992,3,AIR,0.0484
468,V444_0,3.1614879999999994,3,AIR,0.0484
469,V444_0,1.4992,3,AIR,0.0484
470,V444_0,1.4992,3,AIR,0.0484
471,V444_0,1.4992,3,AIR,0.0484
472,V444_0,1.4992,3,AIR,0.0484
473,V444_4,1.4928,1,AIR,0.4928
474,V444_0,1.4992,3,AIR,0.0484
475,V444_0,3.4552,3,AIR,0.0824
476,V444_0,1.4992,3,AIR,0.0484
477,V444_4,1.396,1,AIR,0.396
478,V444_0,1.4992,3,AIR,0.0484
479,V444_0,1.4992,3,AIR,0.0484
480,V444_4,1.4447999999999999,1,AIR,0.4448
481,V444_0,1.4992,3,AIR,0.0484
482,V444_4,11.7048,1,AIR,0.1024
483,V444_0,1.4992,3,AIR,0.0484
484,V444_0,1.7173021189848614,3,AIR,0.0484
485,V444_0,1.4992,3,AIR,0.0484
486,V444_0,3.4552,3,AIR,0.0824
487,V444_0,1.4992,3,AIR,0.0484
488,V444_0,1.4992,3,AIR,0.0484
489,V444_0,3.4552,3,AIR,0.0824
490,V444_0,4.218118358639618,3,AIR,0.0484
491,V444_0,1.4992,3,AIR,0.0484
492,V444_0,1.4992,3,AIR,0.0484
493,V444_4,1.396,1,AIR,0.396
494,V444_0,1.4992,3,AIR,0.0484
495,V444_0,1.4992,3,AIR,0.0484
496,V444_0,1.4992,3,AIR,0.0484
497,V444_0,1.4992,3,AIR,0.0484
498,V444_0,3.4552,3,AIR,0.0824
499,V444_0,1.4992,3,AIR,0.0484
